ID,PROJDATE,PROJECT,CATEGORY,COUNTRY,CLIENTID,GROSSSALES,DISCOUNT,NETSALES,COSTOFSALES,GROSSINCOME,OTHERINCOME,TOTALTAXABLEINCOME,OSD40,NETTAXABLEINCOME,ATAXRATE,TAXDUE,CWHTPQ,NETTAXPAYABLE,PROFITAFTERTAX,DIVIDEND,RETAINEDEARNINGS,CSAT
1,2016-01-01,P100001,IT05,FRANCE,C2025,138075.07,3057.49,135017.58,20225.14,114792.44,928.59,115721.03,46288.41,69432.62,0.30,20829.79,3124.47,17705.32,48602.83,9720.57,38882.27,8.67
2,2016-01-02,P100002,IT04,GERMANY,C2009,174511.39,2703.76,171807.63,16525.58,155282.05,4838.05,160120.10,64048.04,96072.06,0.30,28821.62,4323.24,24498.38,67250.44,13450.09,53800.35,7.87
3,2016-01-03,P100003,IT07,POLAND,C2018,131217.35,2684.43,128532.92,27213.14,101319.78,2691.13,104010.91,41604.36,62406.55,0.30,18721.96,2808.29,15913.67,43684.58,8736.92,34947.67,8.65
4,2016-01-04,P100004,IT07,CANADA,C2023,148903.52,4408.51,144495.01,19011.83,125483.18,755.28,126238.46,50495.38,75743.08,0.30,22722.92,3408.44,19314.48,53020.15,10604.03,42416.12,9.82
5,2016-01-05,P100005,IT05,FRANCE,C2008,98565.80,2302.24,96263.56,16471.58,79791.98,2735.53,82527.51,33011.00,49516.51,0.30,14854.95,2228.24,12626.71,34661.55,6932.31,27729.24,8.76
6,2016-01-06,P100006,IT05,CANADA,C2008,135989.81,1014.47,134975.34,20003.48,114971.86,3100.01,118071.87,47228.75,70843.12,0.30,21252.94,3187.94,18065.00,49590.19,9918.04,39672.15,7.19
7,2016-01-07,P100007,IT05,CANADA,C2014,157295.84,1343.45,155952.39,13153.15,142799.24,1998.76,144798.00,57919.20,86878.80,0.30,26063.64,3909.55,22154.09,60815.16,12163.03,48652.13,7.31
8,2016-01-08,P100008,IT05,POLAND,C2014,105255.69,1539.30,103716.39,23110.26,80606.13,4076.25,84682.38,33872.95,50809.43,0.30,15242.83,2286.42,12956.40,35566.60,7113.32,28453.28,9.48
9,2016-01-09,P100009,IT05,POLAND,C2017,105202.33,4132.57,101069.76,16480.05,84589.71,554.24,85143.95,34057.58,51086.37,0.30,15325.91,2298.89,13027.02,35760.46,7152.09,28608.37,8.22
10,2016-01-10,P100010,IT05,POLAND,C2025,125496.49,4356.48,121140.01,16746.11,104393.90,1283.47,105677.37,42270.95,63406.42,0.30,19021.93,2853.29,16168.64,44384.50,8876.90,35507.60,7.50
11,2016-01-11,P100011,IT05,GERMANY,C2023,93821.83,2746.49,91075.34,28857.95,62217.39,3280.33,65497.72,26199.09,39298.63,0.30,11789.59,1768.44,10021.15,27509.04,5501.81,22007.23,9.99
12,2016-01-12,P100012,IT08,GERMANY,C2023,181013.02,1747.08,179265.94,25032.46,154233.48,2621.15,156854.63,62741.85,94112.78,0.30,28233.83,4235.08,23998.76,65878.94,13175.79,52703.16,7.67
13,2016-01-13,P100013,IT01,CANADA,C2015,187713.43,2955.48,184757.95,13398.95,171359.00,2797.88,174156.88,69662.75,104494.13,0.30,31348.24,4702.24,26646.00,73145.89,14629.18,58516.71,7.95
14,2016-01-14,P100014,IT01,FRANCE,C2007,91323.69,3033.16,88290.53,10543.57,77746.96,2704.40,80451.36,32180.54,48270.82,0.30,14481.24,2172.19,12309.06,33789.57,6757.91,27031.66,7.73
15,2016-01-15,P100015,IT01,CANADA,C2018,189958.87,3165.46,186793.41,16416.88,170376.53,2272.25,172648.78,69059.51,103589.27,0.30,31076.78,4661.52,26415.26,72512.49,14502.50,58009.99,7.01
16,2016-01-16,P100016,IT01,CANADA,C2008,131268.31,2946.42,128321.89,21928.34,106393.55,2707.75,109101.30,43640.52,65460.78,0.30,19638.23,2945.74,16692.50,45822.55,9164.51,36658.04,8.50
17,2016-01-17,P100017,IT01,SPAIN,C2009,156617.94,2397.37,154220.57,17216.67,137003.90,3951.50,140955.40,56382.16,84573.24,0.30,25371.97,3805.80,21566.18,59201.27,11840.25,47361.01,8.49
18,2016-01-18,P100018,IT01,SPAIN,C2001,114595.73,4098.22,110497.51,18591.40,91906.11,2544.79,94450.90,37780.36,56670.54,0.30,17001.16,2550.17,14450.99,39669.38,7933.88,31735.50,7.57
